INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../tb.cpp in debug mode
   Compiling ../../../../clip.cpp in debug mode
   Compiling ../../../../dynamics.cpp in debug mode
   Compiling ../../../../mppi_control.cpp in debug mode
   Compiling ../../../../ref_path.cpp in debug mode
   Compiling ../../../../nearest_neighbor.cpp in debug mode
   Compiling ../../../../smoothning_filter.cpp in debug mode
   Compiling ../../../../costs.cpp in debug mode
   Compiling ../../../../helper.cpp in debug mode
   Compiling ../../../../globals.cpp in debug mode
   Compiling ../../../../compute_weight.cpp in debug mode
   Compiling ../../../../gaussian_noise_gen.cpp in debug mode
   Generating csim.exe
[INFO] Start simulation of pathtracking with MPPI controller
[INFO] delta_t: 0.04[s], sim_steps: 1000[steps], total_sim_time: 40[s]
Time: 0.00[s], x=0.00000[m], y=0.00000[m], yaw=0.00000[rad], v=0.00000[m/s], steer=0.10180[rad], accel=0.98309[m/s^2]
Time: 0.04[s], x=0.00000[m], y=0.00000[m], yaw=0.00000[rad], v=0.03932[m/s], steer=0.52300[rad], accel=1.41571[m/s^2]
Time: 0.08[s], x=0.00157[m], y=0.00000[m], yaw=0.00036[rad], v=0.09595[m/s], steer=0.52300[rad], accel=1.93247[m/s^2]
Time: 0.12[s], x=0.00541[m], y=0.00000[m], yaw=0.00125[rad], v=0.17325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.16[s], x=0.01234[m], y=0.00001[m], yaw=0.00285[rad], v=0.25325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.20[s], x=0.02247[m], y=0.00004[m], yaw=0.00518[rad], v=0.33325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.24[s], x=0.03580[m], y=0.00011[m], yaw=0.00826[rad], v=0.41325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.28[s], x=0.05233[m], y=0.00024[m], yaw=0.01207[rad], v=0.49325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.32[s], x=0.07206[m], y=0.00048[m], yaw=0.01662[rad], v=0.57325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.36[s], x=0.09499[m], y=0.00086[m], yaw=0.02191[rad], v=0.65325[m/s], steer=0.45722[rad], accel=2.00000[m/s^2]
Time: 0.40[s], x=0.12111[m], y=0.00144[m], yaw=0.02705[rad], v=0.73325[m/s], steer=0.42119[rad], accel=2.00000[m/s^2]
Time: 0.44[s], x=0.15043[m], y=0.00223[m], yaw=0.03231[rad], v=0.81325[m/s], steer=0.29851[rad], accel=2.00000[m/s^2]
Time: 0.48[s], x=0.18294[m], y=0.00328[m], yaw=0.03631[rad], v=0.89325[m/s], steer=0.32678[rad], accel=2.00000[m/s^2]
Time: 0.52[s], x=0.21865[m], y=0.00458[m], yaw=0.04115[rad], v=0.97325[m/s], steer=0.21679[rad], accel=2.00000[m/s^2]
Time: 0.56[s], x=0.25755[m], y=0.00618[m], yaw=0.04458[rad], v=1.05325[m/s], steer=0.18081[rad], accel=2.00000[m/s^2]
Time: 0.60[s], x=0.29963[m], y=0.00806[m], yaw=0.04766[rad], v=1.13325[m/s], steer=0.19499[rad], accel=2.00000[m/s^2]
Time: 0.64[s], x=0.34491[m], y=0.01022[m], yaw=0.05124[rad], v=1.21325[m/s], steer=0.13716[rad], accel=2.00000[m/s^2]
Time: 0.68[s], x=0.39338[m], y=0.01270[m], yaw=0.05392[rad], v=1.29325[m/s], steer=0.14352[rad], accel=2.00000[m/s^2]
Time: 0.72[s], x=0.44503[m], y=0.01549[m], yaw=0.05691[rad], v=1.37325[m/s], steer=0.13733[rad], accel=2.00000[m/s^2]
Time: 0.76[s], x=0.49987[m], y=0.01861[m], yaw=0.05995[rad], v=1.45325[m/s], steer=0.44237[rad], accel=2.00000[m/s^2]
Time: 0.80[s], x=0.55790[m], y=0.02210[m], yaw=0.07096[rad], v=1.53325[m/s], steer=0.42953[rad], accel=2.00000[m/s^2]
Time: 0.84[s], x=0.61908[m], y=0.02645[m], yaw=0.08220[rad], v=1.61325[m/s], steer=0.16490[rad], accel=2.00000[m/s^2]
Time: 0.88[s], x=0.68339[m], y=0.03174[m], yaw=0.08650[rad], v=1.69325[m/s], steer=-0.14610[rad], accel=2.00000[m/s^2]
Time: 0.92[s], x=0.75086[m], y=0.03760[m], yaw=0.08251[rad], v=1.77325[m/s], steer=-0.38541[rad], accel=2.00000[m/s^2]
Time: 0.96[s], x=0.82155[m], y=0.04344[m], yaw=0.07100[rad], v=1.85325[m/s], steer=-0.34653[rad], accel=2.00000[m/s^2]
Time: 1.00[s], x=0.89550[m], y=0.04870[m], yaw=0.06029[rad], v=1.93325[m/s], steer=0.02129[rad], accel=2.00000[m/s^2]
Time: 1.04[s], x=0.97269[m], y=0.05336[m], yaw=0.06095[rad], v=2.01325[m/s], steer=0.47240[rad], accel=2.00000[m/s^2]
Time: 1.08[s], x=1.05307[m], y=0.05827[m], yaw=0.07741[rad], v=2.09325[m/s], steer=0.43738[rad], accel=2.00000[m/s^2]
Time: 1.12[s], x=1.13655[m], y=0.06474[m], yaw=0.09307[rad], v=2.17325[m/s], steer=0.25581[rad], accel=2.00000[m/s^2]
Time: 1.16[s], x=1.22310[m], y=0.07282[m], yaw=0.10217[rad], v=2.25325[m/s], steer=-0.24992[rad], accel=2.00000[m/s^2]
Time: 1.20[s], x=1.31276[m], y=0.08201[m], yaw=0.09296[rad], v=2.33325[m/s], steer=-0.52300[rad], accel=2.00000[m/s^2]
Time: 1.24[s], x=1.40569[m], y=0.09068[m], yaw=0.07144[rad], v=2.41325[m/s], steer=-0.40587[rad], accel=2.00000[m/s^2]
Time: 1.28[s], x=1.50197[m], y=0.09757[m], yaw=0.05485[rad], v=2.49325[m/s], steer=-0.06589[rad], accel=2.00000[m/s^2]
Time: 1.32[s], x=1.60155[m], y=0.10303[m], yaw=0.05222[rad], v=2.57325[m/s], steer=0.20716[rad], accel=2.00000[m/s^2]
Time: 1.36[s], x=1.70434[m], y=0.10841[m], yaw=0.06087[rad], v=2.65325[m/s], steer=0.41070[rad], accel=2.00000[m/s^2]
