  **** HLS Build v2024.2 5238294
INFO: [HLS 200-2005] Using work_dir /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/MPPI_Float 
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'syn.file=gaussian_noise_gen.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/gaussian_noise_gen.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=globals.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(10)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/globals.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=datatypes.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(11)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/datatypes.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=compute_weight.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(12)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/compute_weight.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=globals.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(13)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/globals.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=helper.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(14)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/helper.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=costs.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(15)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/costs.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=smoothning_filter.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(16)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/smoothning_filter.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=nearest_neighbor.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(17)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/nearest_neighbor.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=ref_path.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(18)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/ref_path.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=ref_path.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(19)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/ref_path.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=mppi_control.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(20)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/mppi_control.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=dynamics.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(21)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/dynamics.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=clip.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(22)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/clip.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=tb.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(8)
INFO: [HLS 200-10] Adding test bench file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/tb.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.top=calc_control_input' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(23)
INFO: [HLS 200-1465] Applying ini 'flow_target=vivado' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'part=xczu9eg-ffvb1156-2-e' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xczu9eg-ffvb1156-2-e'
INFO: [HLS 200-1465] Applying ini 'clock=5' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(7)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 5ns.
INFO: [HLS 200-1465] Applying ini 'csim.clean=1' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(24)
INFO: [HLS 200-1465] Applying ini 'csim.code_analyzer=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(25)
INFO: [HLS 200-1465] Applying ini 'csim.sanitize_address=1' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(26)
INFO: [HLS 200-1465] Applying ini 'csim.sanitize_undefined=1' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(28)
INFO: [HLS 200-1465] Applying ini 'package.output.format=ip_catalog' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(5)
INFO: [HLS 200-1465] Applying ini 'syn.dataflow.default_channel=pingpong' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(27)
INFO: [XFORM 203-701] Set the default channel type in dataflow to ping-pong buffer.
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2153] Enabled Clang AddressSanitizer.
INFO: [HLS 200-2154] Enabled Clang UndefinedSanitizer.
INFO: [SIM 211-6] Clang sanitizer requests large memory space to detect memory errors. In order to run Clang sanitizer correctly, you will need to 1) set the value of /proc/sys/vm/overcommit_memory to 0; or 2) run HLS on a machine with sufficient memory space.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../tb.cpp in debug mode
   Compiling ../../../../clip.cpp in debug mode
   Compiling ../../../../dynamics.cpp in debug mode
   Compiling ../../../../mppi_control.cpp in debug mode
   Compiling ../../../../ref_path.cpp in debug mode
   Compiling ../../../../nearest_neighbor.cpp in debug mode
   Compiling ../../../../smoothning_filter.cpp in debug mode
   Compiling ../../../../costs.cpp in debug mode
   Compiling ../../../../helper.cpp in debug mode
   Compiling ../../../../globals.cpp in debug mode
   Compiling ../../../../compute_weight.cpp in debug mode
   Compiling ../../../../gaussian_noise_gen.cpp in debug mode
   Generating csim.exe
[INFO] Start simulation of pathtracking with MPPI controller
[INFO] delta_t: 0.04[s], sim_steps: 1000[steps], total_sim_time: 40[s]
Time: 0.00[s], x=0.00000[m], y=0.00000[m], yaw=0.00000[rad], v=5.00000[m/s], steer=0.16360[rad], accel=0.01571[m/s^2]
Time: 0.04[s], x=0.20000[m], y=0.00000[m], yaw=0.01321[rad], v=5.00063[m/s], steer=0.27433[rad], accel=0.01273[m/s^2]
Time: 0.08[s], x=0.40001[m], y=0.00264[m], yaw=0.03572[rad], v=5.00114[m/s], steer=0.34331[rad], accel=-0.03400[m/s^2]
Time: 0.12[s], x=0.59993[m], y=0.00979[m], yaw=0.06433[rad], v=4.99978[m/s], steer=0.27279[rad], accel=-0.06466[m/s^2]
Time: 0.16[s], x=0.79950[m], y=0.02264[m], yaw=0.08671[rad], v=4.99719[m/s], steer=0.22049[rad], accel=-0.09324[m/s^2]
Time: 0.20[s], x=0.99864[m], y=0.03995[m], yaw=0.10463[rad], v=4.99346[m/s], steer=0.19020[rad], accel=-0.12627[m/s^2]
Time: 0.24[s], x=1.19729[m], y=0.06081[m], yaw=0.12001[rad], v=4.98841[m/s], steer=0.15053[rad], accel=-0.15913[m/s^2]
Time: 0.28[s], x=1.39539[m], y=0.08470[m], yaw=0.13212[rad], v=4.98205[m/s], steer=0.12114[rad], accel=-0.19571[m/s^2]
Time: 0.32[s], x=1.59293[m], y=0.11095[m], yaw=0.14182[rad], v=4.97422[m/s], steer=0.09808[rad], accel=-0.21990[m/s^2]
Time: 0.36[s], x=1.78990[m], y=0.13908[m], yaw=0.14965[rad], v=4.96542[m/s], steer=0.10540[rad], accel=-0.24253[m/s^2]
Time: 0.40[s], x=1.98630[m], y=0.16869[m], yaw=0.15806[rad], v=4.95572[m/s], steer=0.10748[rad], accel=-0.28085[m/s^2]
Time: 0.44[s], x=2.18206[m], y=0.19989[m], yaw=0.16661[rad], v=4.94449[m/s], steer=0.09282[rad], accel=-0.30699[m/s^2]
Time: 0.48[s], x=2.37710[m], y=0.23269[m], yaw=0.17398[rad], v=4.93221[m/s], steer=0.08159[rad], accel=-0.30554[m/s^2]
Time: 0.52[s], x=2.57141[m], y=0.26684[m], yaw=0.18043[rad], v=4.91998[m/s], steer=0.07072[rad], accel=-0.30544[m/s^2]
Time: 0.56[s], x=2.76501[m], y=0.30216[m], yaw=0.18601[rad], v=4.90777[m/s], steer=0.05417[rad], accel=-0.29849[m/s^2]
Time: 0.60[s], x=2.95794[m], y=0.33846[m], yaw=0.19026[rad], v=4.89583[m/s], steer=0.03644[rad], accel=-0.28787[m/s^2]
Time: 0.64[s], x=3.15024[m], y=0.37550[m], yaw=0.19312[rad], v=4.88431[m/s], steer=0.05454[rad], accel=-0.28057[m/s^2]
Time: 0.68[s], x=3.34198[m], y=0.41299[m], yaw=0.19739[rad], v=4.87309[m/s], steer=0.07498[rad], accel=-0.28199[m/s^2]
Time: 0.72[s], x=3.53312[m], y=0.45122[m], yaw=0.20324[rad], v=4.86181[m/s], steer=0.09264[rad], accel=-0.28865[m/s^2]
Time: 0.76[s], x=3.72359[m], y=0.49047[m], yaw=0.21047[rad], v=4.85026[m/s], steer=0.08291[rad], accel=-0.27802[m/s^2]
Time: 0.80[s], x=3.91332[m], y=0.53100[m], yaw=0.21692[rad], v=4.83914[m/s], steer=0.06471[rad], accel=-0.25909[m/s^2]
Time: 0.84[s], x=4.10234[m], y=0.57266[m], yaw=0.22194[rad], v=4.82878[m/s], steer=0.06898[rad], accel=-0.26457[m/s^2]
Time: 0.88[s], x=4.29076[m], y=0.61518[m], yaw=0.22727[rad], v=4.81820[m/s], steer=0.05374[rad], accel=-0.28407[m/s^2]
Time: 0.92[s], x=4.47853[m], y=0.65860[m], yaw=0.23142[rad], v=4.80683[m/s], steer=0.05704[rad], accel=-0.29481[m/s^2]
Time: 0.96[s], x=4.66568[m], y=0.70270[m], yaw=0.23581[rad], v=4.79504[m/s], steer=0.06910[rad], accel=-0.30315[m/s^2]
Time: 1.00[s], x=4.85217[m], y=0.74752[m], yaw=0.24112[rad], v=4.78292[m/s], steer=0.06033[rad], accel=-0.29464[m/s^2]
Time: 1.04[s], x=5.03795[m], y=0.79320[m], yaw=0.24574[rad], v=4.77113[m/s], steer=0.04536[rad], accel=-0.28101[m/s^2]
Time: 1.08[s], x=5.22306[m], y=0.83963[m], yaw=0.24921[rad], v=4.75989[m/s], steer=0.06120[rad], accel=-0.27139[m/s^2]
Time: 1.12[s], x=5.40758[m], y=0.88659[m], yaw=0.25388[rad], v=4.74903[m/s], steer=0.06809[rad], accel=-0.26608[m/s^2]
Time: 1.16[s], x=5.59145[m], y=0.93430[m], yaw=0.25906[rad], v=4.73839[m/s], steer=0.07848[rad], accel=-0.29093[m/s^2]
Time: 1.20[s], x=5.77466[m], y=0.98285[m], yaw=0.26502[rad], v=4.72675[m/s], steer=0.07833[rad], accel=-0.29988[m/s^2]
Time: 1.24[s], x=5.95713[m], y=1.03237[m], yaw=0.27096[rad], v=4.71476[m/s], steer=0.06557[rad], accel=-0.27665[m/s^2]
Time: 1.28[s], x=6.13884[m], y=1.08285[m], yaw=0.27591[rad], v=4.70369[m/s], steer=0.05850[rad], accel=-0.25815[m/s^2]
Time: 1.32[s], x=6.31987[m], y=1.13411[m], yaw=0.28032[rad], v=4.69337[m/s], steer=0.04873[rad], accel=-0.24700[m/s^2]
Time: 1.36[s], x=6.50028[m], y=1.18605[m], yaw=0.28398[rad], v=4.68349[m/s], steer=0.04889[rad], accel=-0.24460[m/s^2]
Time: 1.40[s], x=6.68012[m], y=1.23853[m], yaw=0.28765[rad], v=4.67370[m/s], steer=0.05853[rad], accel=-0.24016[m/s^2]
Time: 1.44[s], x=6.85938[m], y=1.29157[m], yaw=0.29203[rad], v=4.66410[m/s], steer=0.06836[rad], accel=-0.23314[m/s^2]
Time: 1.48[s], x=7.03805[m], y=1.34528[m], yaw=0.29714[rad], v=4.65477[m/s], steer=0.07111[rad], accel=-0.22385[m/s^2]
Time: 1.52[s], x=7.21608[m], y=1.39979[m], yaw=0.30244[rad], v=4.64582[m/s], steer=0.07257[rad], accel=-0.21308[m/s^2]
Time: 1.56[s], x=7.39348[m], y=1.45514[m], yaw=0.30784[rad], v=4.63729[m/s], steer=0.06691[rad], accel=-0.20107[m/s^2]
Time: 1.60[s], x=7.57025[m], y=1.51135[m], yaw=0.31282[rad], v=4.62925[m/s], steer=0.05951[rad], accel=-0.18774[m/s^2]
Time: 1.64[s], x=7.74643[m], y=1.56833[m], yaw=0.31723[rad], v=4.62174[m/s], steer=0.05566[rad], accel=-0.17429[m/s^2]
Time: 1.68[s], x=7.92208[m], y=1.62600[m], yaw=0.32135[rad], v=4.61477[m/s], steer=0.05623[rad], accel=-0.16154[m/s^2]
Time: 1.72[s], x=8.09722[m], y=1.68430[m], yaw=0.32551[rad], v=4.60831[m/s], steer=0.05908[rad], accel=-0.14868[m/s^2]
Time: 1.76[s], x=8.27187[m], y=1.74325[m], yaw=0.32987[rad], v=4.60236[m/s], steer=0.06399[rad], accel=-0.13564[m/s^2]
Time: 1.80[s], x=8.44604[m], y=1.80288[m], yaw=0.33459[rad], v=4.59694[m/s], steer=0.06729[rad], accel=-0.12237[m/s^2]
Time: 1.84[s], x=8.61972[m], y=1.86326[m], yaw=0.33954[rad], v=4.59204[m/s], steer=0.06730[rad], accel=-0.10877[m/s^2]
Time: 1.88[s], x=8.79292[m], y=1.92444[m], yaw=0.34450[rad], v=4.58769[m/s], steer=0.06499[rad], accel=-0.09507[m/s^2]
Time: 1.92[s], x=8.96564[m], y=1.98641[m], yaw=0.34927[rad], v=4.58389[m/s], steer=0.06221[rad], accel=-0.08167[m/s^2]
Time: 1.96[s], x=9.13793[m], y=2.04916[m], yaw=0.35384[rad], v=4.58062[m/s], steer=0.06016[rad], accel=-0.06862[m/s^2]
Time: 2.00[s], x=9.30980[m], y=2.11265[m], yaw=0.35826[rad], v=4.57788[m/s], steer=0.06003[rad], accel=-0.05590[m/s^2]
Time: 2.04[s], x=9.48129[m], y=2.17686[m], yaw=0.36266[rad], v=4.57564[m/s], steer=0.06157[rad], accel=-0.04300[m/s^2]
Time: 2.08[s], x=9.65241[m], y=2.24179[m], yaw=0.36717[rad], v=4.57392[m/s], steer=0.06343[rad], accel=-0.02990[m/s^2]
Time: 2.12[s], x=9.82317[m], y=2.30746[m], yaw=0.37182[rad], v=4.57272[m/s], steer=0.06453[rad], accel=-0.01709[m/s^2]
Time: 2.16[s], x=9.99358[m], y=2.37392[m], yaw=0.37655[rad], v=4.57204[m/s], steer=0.06475[rad], accel=-0.00445[m/s^2]
Time: 2.20[s], x=10.16365[m], y=2.44116[m], yaw=0.38129[rad], v=4.57186[m/s], steer=0.06417[rad], accel=0.00795[m/s^2]
Time: 2.24[s], x=10.33340[m], y=2.50922[m], yaw=0.38599[rad], v=4.57218[m/s], steer=0.06336[rad], accel=0.02009[m/s^2]
Time: 2.28[s], x=10.50283[m], y=2.57807[m], yaw=0.39063[rad], v=4.57298[m/s], steer=0.06297[rad], accel=0.03214[m/s^2]
Time: 2.32[s], x=10.67197[m], y=2.64772[m], yaw=0.39525[rad], v=4.57427[m/s], steer=0.06305[rad], accel=0.04412[m/s^2]
Time: 2.36[s], x=10.84083[m], y=2.71817[m], yaw=0.39987[rad], v=4.57603[m/s], steer=0.06337[rad], accel=0.05597[m/s^2]
Time: 2.40[s], x=11.00943[m], y=2.78943[m], yaw=0.40451[rad], v=4.57827[m/s], steer=0.06376[rad], accel=0.06768[m/s^2]
Time: 2.44[s], x=11.17778[m], y=2.86150[m], yaw=0.40919[rad], v=4.58098[m/s], steer=0.06403[rad], accel=0.07915[m/s^2]
Time: 2.48[s], x=11.34590[m], y=2.93441[m], yaw=0.41389[rad], v=4.58415[m/s], steer=0.06417[rad], accel=0.09035[m/s^2]
Time: 2.52[s], x=11.51378[m], y=3.00815[m], yaw=0.41860[rad], v=4.58776[m/s], steer=0.06431[rad], accel=0.10133[m/s^2]
Time: 2.56[s], x=11.68144[m], y=3.08274[m], yaw=0.42333[rad], v=4.59181[m/s], steer=0.06449[rad], accel=0.11212[m/s^2]
