  **** HLS Build v2024.2 5238294
INFO: [HLS 200-2005] Using work_dir /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/MPPI_Float 
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'syn.file=gaussian_noise_gen.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/gaussian_noise_gen.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=globals.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(10)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/globals.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=datatypes.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(11)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/datatypes.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=compute_weight.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(12)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/compute_weight.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=globals.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(13)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/globals.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=helper.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(14)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/helper.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=costs.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(15)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/costs.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=smoothning_filter.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(16)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/smoothning_filter.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=nearest_neighbor.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(17)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/nearest_neighbor.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=ref_path.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(18)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/ref_path.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=ref_path.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(19)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/ref_path.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=mppi_control.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(20)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/mppi_control.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=dynamics.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(21)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/dynamics.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=clip.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(22)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/clip.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=tb.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(8)
INFO: [HLS 200-10] Adding test bench file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/tb.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.top=calc_control_input' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(23)
INFO: [HLS 200-1465] Applying ini 'flow_target=vivado' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'part=xczu9eg-ffvb1156-2-e' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xczu9eg-ffvb1156-2-e'
INFO: [HLS 200-1465] Applying ini 'clock=5' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(7)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 5ns.
INFO: [HLS 200-1465] Applying ini 'csim.clean=1' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(24)
INFO: [HLS 200-1465] Applying ini 'csim.code_analyzer=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(25)
INFO: [HLS 200-1465] Applying ini 'csim.sanitize_address=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(26)
INFO: [HLS 200-1465] Applying ini 'csim.sanitize_undefined=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(28)
INFO: [HLS 200-1465] Applying ini 'package.output.format=ip_catalog' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(5)
INFO: [HLS 200-1465] Applying ini 'syn.dataflow.default_channel=fifo' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(27)
INFO: [XFORM 203-701] Set the default channel type in dataflow to FIFO.
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../tb.cpp in debug mode
   Compiling ../../../../clip.cpp in debug mode
   Compiling ../../../../dynamics.cpp in debug mode
   Compiling ../../../../mppi_control.cpp in debug mode
   Compiling ../../../../ref_path.cpp in debug mode
   Compiling ../../../../nearest_neighbor.cpp in debug mode
   Compiling ../../../../smoothning_filter.cpp in debug mode
   Compiling ../../../../costs.cpp in debug mode
   Compiling ../../../../helper.cpp in debug mode
   Compiling ../../../../globals.cpp in debug mode
   Compiling ../../../../compute_weight.cpp in debug mode
   Compiling ../../../../gaussian_noise_gen.cpp in debug mode
   Generating csim.exe
[INFO] Start simulation of pathtracking with MPPI controller
[INFO] delta_t: 0.04[s], sim_steps: 1000[steps], total_sim_time: 40[s]
Time: 0.00[s], x=0.00000[m], y=0.00000[m], yaw=0.00000[rad], v=5.00000[m/s], steer=0.33950[rad], accel=-0.09020[m/s^2]
Time: 0.04[s], x=0.20000[m], y=0.00000[m], yaw=0.02825[rad], v=4.99639[m/s], steer=0.44835[rad], accel=-0.14364[m/s^2]
Time: 0.08[s], x=0.39978[m], y=0.00565[m], yaw=0.06671[rad], v=4.99065[m/s], steer=0.38017[rad], accel=-0.17975[m/s^2]
Time: 0.12[s], x=0.59896[m], y=0.01895[m], yaw=0.09862[rad], v=4.98346[m/s], steer=0.26696[rad], accel=-0.18917[m/s^2]
Time: 0.16[s], x=0.79733[m], y=0.03858[m], yaw=0.12042[rad], v=4.97589[m/s], steer=0.15624[rad], accel=-0.20407[m/s^2]
Time: 0.20[s], x=0.99492[m], y=0.06249[m], yaw=0.13297[rad], v=4.96773[m/s], steer=0.07743[rad], accel=-0.21566[m/s^2]
Time: 0.24[s], x=1.19188[m], y=0.08883[m], yaw=0.13913[rad], v=4.95910[m/s], steer=-0.02357[rad], accel=-0.21122[m/s^2]
Time: 0.28[s], x=1.38832[m], y=0.11634[m], yaw=0.13726[rad], v=4.95065[m/s], steer=-0.07207[rad], accel=-0.20528[m/s^2]
Time: 0.32[s], x=1.58449[m], y=0.14344[m], yaw=0.13154[rad], v=4.94244[m/s], steer=-0.08018[rad], accel=-0.17835[m/s^2]
Time: 0.36[s], x=1.78048[m], y=0.16937[m], yaw=0.12519[rad], v=4.93531[m/s], steer=-0.08586[rad], accel=-0.16543[m/s^2]
Time: 0.40[s], x=1.97634[m], y=0.19402[m], yaw=0.11839[rad], v=4.92869[m/s], steer=-0.08729[rad], accel=-0.14839[m/s^2]
Time: 0.44[s], x=2.17211[m], y=0.21731[m], yaw=0.11149[rad], v=4.92275[m/s], steer=-0.08577[rad], accel=-0.12251[m/s^2]
Time: 0.48[s], x=2.36780[m], y=0.23921[m], yaw=0.10472[rad], v=4.91785[m/s], steer=-0.07631[rad], accel=-0.10014[m/s^2]
Time: 0.52[s], x=2.56344[m], y=0.25978[m], yaw=0.09870[rad], v=4.91385[m/s], steer=-0.06396[rad], accel=-0.10122[m/s^2]
Time: 0.56[s], x=2.75903[m], y=0.27915[m], yaw=0.09367[rad], v=4.90980[m/s], steer=-0.04311[rad], accel=-0.08983[m/s^2]
Time: 0.60[s], x=2.95456[m], y=0.29751[m], yaw=0.09028[rad], v=4.90621[m/s], steer=-0.01635[rad], accel=-0.08441[m/s^2]
Time: 0.64[s], x=3.15001[m], y=0.31521[m], yaw=0.08900[rad], v=4.90283[m/s], steer=0.00674[rad], accel=-0.09325[m/s^2]
Time: 0.68[s], x=3.34535[m], y=0.33264[m], yaw=0.08952[rad], v=4.89910[m/s], steer=0.00852[rad], accel=-0.09368[m/s^2]
Time: 0.72[s], x=3.54053[m], y=0.35016[m], yaw=0.09019[rad], v=4.89535[m/s], steer=0.00046[rad], accel=-0.10035[m/s^2]
Time: 0.76[s], x=3.73555[m], y=0.36779[m], yaw=0.09023[rad], v=4.89134[m/s], steer=-0.01127[rad], accel=-0.09966[m/s^2]
Time: 0.80[s], x=3.93041[m], y=0.38542[m], yaw=0.08935[rad], v=4.88735[m/s], steer=-0.01360[rad], accel=-0.09437[m/s^2]
Time: 0.84[s], x=4.12512[m], y=0.40287[m], yaw=0.08828[rad], v=4.88358[m/s], steer=-0.01624[rad], accel=-0.09839[m/s^2]
Time: 0.88[s], x=4.31970[m], y=0.42009[m], yaw=0.08701[rad], v=4.87964[m/s], steer=-0.02309[rad], accel=-0.10867[m/s^2]
Time: 0.92[s], x=4.51415[m], y=0.43705[m], yaw=0.08521[rad], v=4.87529[m/s], steer=-0.02475[rad], accel=-0.11792[m/s^2]
Time: 0.96[s], x=4.70845[m], y=0.45365[m], yaw=0.08328[rad], v=4.87058[m/s], steer=-0.02321[rad], accel=-0.12042[m/s^2]
Time: 1.00[s], x=4.90260[m], y=0.46986[m], yaw=0.08147[rad], v=4.86576[m/s], steer=-0.01894[rad], accel=-0.11958[m/s^2]
Time: 1.04[s], x=5.09659[m], y=0.48570[m], yaw=0.08000[rad], v=4.86098[m/s], steer=-0.01552[rad], accel=-0.11840[m/s^2]
Time: 1.08[s], x=5.29040[m], y=0.50123[m], yaw=0.07879[rad], v=4.85624[m/s], steer=-0.01497[rad], accel=-0.11799[m/s^2]
Time: 1.12[s], x=5.48405[m], y=0.51652[m], yaw=0.07763[rad], v=4.85152[m/s], steer=-0.01461[rad], accel=-0.11662[m/s^2]
Time: 1.16[s], x=5.67753[m], y=0.53157[m], yaw=0.07649[rad], v=4.84686[m/s], steer=-0.01210[rad], accel=-0.11548[m/s^2]
Time: 1.20[s], x=5.87083[m], y=0.54639[m], yaw=0.07555[rad], v=4.84224[m/s], steer=-0.01355[rad], accel=-0.11866[m/s^2]
Time: 1.24[s], x=6.06397[m], y=0.56101[m], yaw=0.07450[rad], v=4.83749[m/s], steer=-0.01518[rad], accel=-0.12078[m/s^2]
Time: 1.28[s], x=6.25693[m], y=0.57541[m], yaw=0.07333[rad], v=4.83266[m/s], steer=-0.01612[rad], accel=-0.10980[m/s^2]
Time: 1.32[s], x=6.44972[m], y=0.58957[m], yaw=0.07208[rad], v=4.82827[m/s], steer=-0.01565[rad], accel=-0.10305[m/s^2]
Time: 1.36[s], x=6.64235[m], y=0.60348[m], yaw=0.07087[rad], v=4.82415[m/s], steer=-0.01475[rad], accel=-0.10031[m/s^2]
Time: 1.40[s], x=6.83483[m], y=0.61715[m], yaw=0.06973[rad], v=4.82013[m/s], steer=-0.01534[rad], accel=-0.09676[m/s^2]
Time: 1.44[s], x=7.02717[m], y=0.63058[m], yaw=0.06855[rad], v=4.81626[m/s], steer=-0.01768[rad], accel=-0.09119[m/s^2]
Time: 1.48[s], x=7.21937[m], y=0.64378[m], yaw=0.06719[rad], v=4.81262[m/s], steer=-0.02077[rad], accel=-0.08061[m/s^2]
Time: 1.52[s], x=7.41144[m], y=0.65670[m], yaw=0.06559[rad], v=4.80939[m/s], steer=-0.02083[rad], accel=-0.07755[m/s^2]
Time: 1.56[s], x=7.60340[m], y=0.66931[m], yaw=0.06399[rad], v=4.80629[m/s], steer=-0.02051[rad], accel=-0.07090[m/s^2]
Time: 1.60[s], x=7.79526[m], y=0.68160[m], yaw=0.06241[rad], v=4.80345[m/s], steer=-0.01655[rad], accel=-0.06581[m/s^2]
Time: 1.64[s], x=7.98702[m], y=0.69358[m], yaw=0.06114[rad], v=4.80082[m/s], steer=-0.01542[rad], accel=-0.05434[m/s^2]
Time: 1.68[s], x=8.17870[m], y=0.70532[m], yaw=0.05995[rad], v=4.79865[m/s], steer=-0.01832[rad], accel=-0.04662[m/s^2]
Time: 1.72[s], x=8.37030[m], y=0.71682[m], yaw=0.05854[rad], v=4.79678[m/s], steer=-0.01842[rad], accel=-0.04057[m/s^2]
Time: 1.76[s], x=8.56184[m], y=0.72804[m], yaw=0.05713[rad], v=4.79516[m/s], steer=-0.01907[rad], accel=-0.03563[m/s^2]
Time: 1.80[s], x=8.75333[m], y=0.73900[m], yaw=0.05567[rad], v=4.79374[m/s], steer=-0.01402[rad], accel=-0.03149[m/s^2]
Time: 1.84[s], x=8.94478[m], y=0.74967[m], yaw=0.05459[rad], v=4.79248[m/s], steer=-0.00839[rad], accel=-0.03311[m/s^2]
Time: 1.88[s], x=9.13620[m], y=0.76013[m], yaw=0.05395[rad], v=4.79115[m/s], steer=-0.00609[rad], accel=-0.03819[m/s^2]
Time: 1.92[s], x=9.32757[m], y=0.77046[m], yaw=0.05348[rad], v=4.78962[m/s], steer=-0.00565[rad], accel=-0.03990[m/s^2]
Time: 1.96[s], x=9.51888[m], y=0.78070[m], yaw=0.05305[rad], v=4.78803[m/s], steer=-0.00775[rad], accel=-0.04093[m/s^2]
Time: 2.00[s], x=9.71013[m], y=0.79086[m], yaw=0.05246[rad], v=4.78639[m/s], steer=-0.01545[rad], accel=-0.04013[m/s^2]
Time: 2.04[s], x=9.90132[m], y=0.80089[m], yaw=0.05127[rad], v=4.78479[m/s], steer=-0.01540[rad], accel=-0.04009[m/s^2]
Time: 2.08[s], x=10.09246[m], y=0.81070[m], yaw=0.05009[rad], v=4.78318[m/s], steer=-0.01297[rad], accel=-0.03735[m/s^2]
Time: 2.12[s], x=10.28355[m], y=0.82028[m], yaw=0.04910[rad], v=4.78169[m/s], steer=-0.00839[rad], accel=-0.03020[m/s^2]
Time: 2.16[s], x=10.47459[m], y=0.82967[m], yaw=0.04846[rad], v=4.78048[m/s], steer=-0.00521[rad], accel=-0.02410[m/s^2]
Time: 2.20[s], x=10.66558[m], y=0.83893[m], yaw=0.04806[rad], v=4.77952[m/s], steer=-0.00651[rad], accel=-0.01734[m/s^2]
Time: 2.24[s], x=10.85654[m], y=0.84812[m], yaw=0.04756[rad], v=4.77882[m/s], steer=-0.01144[rad], accel=-0.00817[m/s^2]
Time: 2.28[s], x=11.04748[m], y=0.85721[m], yaw=0.04669[rad], v=4.77850[m/s], steer=-0.01264[rad], accel=-0.00004[m/s^2]
Time: 2.32[s], x=11.23841[m], y=0.86613[m], yaw=0.04572[rad], v=4.77850[m/s], steer=-0.01149[rad], accel=0.00283[m/s^2]
Time: 2.36[s], x=11.42935[m], y=0.87486[m], yaw=0.04484[rad], v=4.77861[m/s], steer=-0.00824[rad], accel=0.00627[m/s^2]
Time: 2.40[s], x=11.62030[m], y=0.88343[m], yaw=0.04421[rad], v=4.77886[m/s], steer=-0.00330[rad], accel=0.00794[m/s^2]
Time: 2.44[s], x=11.81127[m], y=0.89188[m], yaw=0.04396[rad], v=4.77918[m/s], steer=0.01610[rad], accel=0.01121[m/s^2]
